district,counties,democrat,republican,other
1,Adams,84451,60482,13722
2,Alamosa,3307,2326,420
3,Arapahoe,130126,112323,18658
4,Archuleta,2098,3339,464
5,Baca,435,1187,154
6,Bent,701,918,129
7,Boulder,101520,44301,13995
8,Chaffee,4002,4259,772
9,Cheyenne,148,724,74
10,Clear Creek,2499,2097,612
11,Conejos,2026,1582,180
12,Costilla,1151,375,126
13,Crowley,454,792,138
14,Custer,713,1570,178
15,Delta,4065,9192,1447
16,Denver,189126,63886,17296
17,Dolores,289,577,140
18,Douglas,48355,91693,10718
19,Eagle,9561,7666,1901
20,Elbert,2914,8831,1202
21,El Paso,91820,147221,21115
22,Fremont,5911,11110,1560
23,Garfield,9144,10378,2100
24,Gilpin,1475,1110,406
25,Grand,2737,3785,647
26,Gunnison,3728,2699,782
27,Hinsdale,176,295,39
28,Huerfano,1761,1343,232
29,Jackson,153,487,54
30,Jefferson,126657,124043,24448
31,Kiowa,127,529,41
32,Kit Carson,697,2238,247
33,Lake,1489,823,293
34,La Plata,12165,10916,2431
35,Larimer,73111,71564,14711
36,Las Animas,3205,2414,527
37,Lincoln,429,1427,163
38,Logan,2228,5162,665
39,Mesa,19885,39410,6334
40,Mineral,227,287,35
41,Moffat,1143,3770,608
42,Montezuma,3779,6353,1033
43,Montrose,5077,11273,1764
44,Morgan,3197,5735,767
45,Otero,3293,3865,451
46,Ouray,1322,1258,264
47,Park,3040,4440,928
48,Phillips,445,1360,123
49,Pitkin,5482,2502,681
50,Prowers,1384,2671,330
51,Pueblo,40542,27433,4284
52,Rio Blanco,472,2242,262
53,Rio Grande,2166,2525,369
54,Routt,5817,4475,1043
55,Saguache,1575,820,287
56,San Juan,207,154,53
57,San Miguel,2282,937,418
58,Sedgwick,320,709,109
59,Summit,6745,4614,1299
60,Teller,3510,7547,1140
61,Washington,357,1780,159
62,Weld,40142,55576,9084
63,Yuma,866,2866,304
64,Broomfield,13935,13392,2549
