district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,15406,39896,5122
2,Clear Creek - El Paso - Fremont - Park - Teller,20698,35619,6042
3,Pueblo,36561,22350,3632
4,Douglas,21965,46953,5789
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,28503,27436,5915
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,27219,34807,6567
7,Mesa,19885,39410,6334
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,26211,29751,6013
9,El Paso,19630,50793,5251
10,El Paso,21520,38073,5256
11,El Paso,25141,16446,4364
12,El Paso,19791,31484,4442
13,Weld,21908,24489,4292
14,Larimer,40162,28418,7166
15,Larimer,30273,38320,7044
16,Boulder - Denver - Gilpin - Jefferson,35570,36259,6885
17,Boulder,39466,24700,6421
18,Boulder,58128,17333,6972
19,Jefferson,32860,31062,6516
20,Jefferson,36742,35635,6885
21,Adams,27662,14025,4110
22,Jefferson,33400,29953,5990
23,Broomfield - Larimer - Weld,31040,40241,6533
24,Adams,31818,27152,5247
25,Adams,24971,19305,4365
26,Arapahoe,34221,30220,5164
27,Arapahoe,32413,38519,4823
28,Arapahoe,33374,24275,4717
29,Arapahoe,28436,18369,3715
30,Douglas,26390,44740,4929
31,Arapahoe - Denver,50776,21129,4945
32,Denver,43885,18930,4475
33,Denver,49449,8746,3412
34,Denver,40184,10533,3883
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,26506,28287,4249
