district,counties,democrat,republican,other
1,Adams,100649,70972,4609
2,Alamosa,3811,2705,199
3,Arapahoe,153905,125588,6023
4,Archuleta,2679,3872,183
5,Baca,467,1559,80
6,Bent,815,1075,52
7,Boulder,125091,49981,4427
8,Chaffee,5086,5070,306
9,Cheyenne,172,889,32
10,Clear Creek,3119,2430,194
11,Conejos,2213,1835,53
12,Costilla,1340,446,51
13,Crowley,535,924,43
14,Custer,868,1788,59
15,Delta,4622,10915,388
16,Denver,222018,73111,6565
17,Dolores,334,859,52
18,Douglas,61094,104397,2593
19,Eagle,12792,9411,465
20,Elbert,3603,10266,309
21,El Paso,111819,170952,7404
22,Fremont,6704,13174,538
23,Garfield,11305,12535,568
24,Gilpin,1892,1346,100
25,Grand,3684,4253,250
26,Gunnison,5044,3341,282
27,Hinsdale,229,353,18
28,Huerfano,1953,1646,115
29,Jackson,216,600,32
30,Jefferson,159296,144197,7559
31,Kiowa,118,677,26
32,Kit Carson,838,2785,79
33,Lake,1839,1098,103
34,La Plata,15489,12794,901
35,Larimer,92747,82376,5057
36,Las Animas,3445,3263,154
37,Lincoln,552,1687,48
38,Logan,2712,6179,233
39,Mesa,23846,47472,1629
40,Mineral,291,344,15
41,Moffat,1330,4695,143
42,Montezuma,4542,7401,375
43,Montrose,6138,13552,440
44,Morgan,3912,6602,263
45,Otero,3647,4382,163
46,Ouray,1646,1481,75
47,Park,3862,5236,268
48,Phillips,588,1637,40
49,Pitkin,6849,3024,202
50,Prowers,1519,3230,114
51,Pueblo,42551,31894,1749
52,Rio Blanco,568,2724,77
53,Rio Grande,2478,2918,137
54,Routt,7547,5469,301
55,Saguache,1865,964,103
56,San Juan,266,212,28
57,San Miguel,2992,1154,110
58,Sedgwick,419,881,38
59,Summit,9347,5571,394
60,Teller,4333,8702,372
61,Washington,468,2076,47
62,Weld,49050,63775,3041
63,Yuma,987,3490,100
64,Broomfield,16966,15008,803
