district,counties,democrat,republican,other
1,Denver - Jefferson,19051,10165,647
2,Denver,35358,12088,1338
3,Arapahoe,21537,18646,948
4,Denver,26846,6235,828
5,Denver,23356,6438,773
6,Denver,30320,14573,670
7,Denver,25129,4905,412
8,Denver,38503,6304,1031
9,Arapahoe - Denver,25588,13551,953
10,Boulder,37560,8520,1293
11,Boulder,24921,16498,1063
12,Boulder,29608,14717,999
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,34474,14180,1396
14,El Paso,12029,28105,912
15,El Paso,11961,21186,865
16,El Paso,15252,23288,1138
17,El Paso,13110,8697,689
18,El Paso,22161,16328,1305
19,El Paso,10831,34892,955
20,El Paso,15384,25463,847
21,El Paso,11091,12993,693
22,Jefferson,20367,25879,874
23,Jefferson,24271,17359,1256
24,Jefferson,24529,17339,1191
25,Jefferson,23263,26620,1041
26,Eagle - Routt,20339,14880,766
27,Jefferson,22497,23730,1042
28,Jefferson,22105,16300,968
29,Jefferson,22196,16863,1186
30,Adams,16078,10937,650
31,Adams,19059,13136,912
32,Adams,16379,6892,671
33,Boulder - Broomfield,24405,19703,1055
34,Adams,17702,11830,861
35,Adams,21007,14969,922
36,Arapahoe,19202,12720,661
37,Arapahoe,20458,22567,746
38,Arapahoe,23623,27460,1047
39,Douglas - Teller,15487,30017,844
40,Arapahoe,21548,15079,919
41,Arapahoe,22062,12273,778
42,Arapahoe,17337,6071,581
43,Douglas,19035,27451,666
44,Douglas,15973,25834,748
45,Douglas,14932,29797,707
46,Pueblo,22446,16910,899
47,Fremont - Otero - Pueblo,17362,18495,839
48,Weld,15045,24389,880
49,Larimer - Weld,20912,28295,1155
50,Weld,13583,10185,798
51,Larimer,19698,24709,1265
52,Larimer,28217,19756,1366
53,Larimer,27463,15774,1496
54,Delta - Mesa,10812,26444,831
55,Mesa,14350,24491,909
56,Adams - Arapahoe,16497,22939,850
57,Garfield - Moffat - Rio Blanco,13203,19954,788
58,Dolores - Montezuma - Montrose - San Miguel,14006,22966,977
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,22396,20513,1348
60,Chaffee - Custer - Fremont - Park,15622,23073,1098
61,Delta - Gunnison - Lake - Pitkin - Summit,24298,18685,1115
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,21239,13924,920
63,Weld,16879,23043,1138
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,11522,24757,873
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,9628,22463,785
