district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,18756,46917,1617
2,Clear Creek - El Paso - Fremont - Park - Teller,25013,41751,1959
3,Pueblo,38419,25946,1519
4,Douglas,27968,53492,1375
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,36461,33212,1764
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,34086,41325,2164
7,Mesa,23846,47472,1629
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,33997,35847,1765
9,El Paso,23875,58738,1627
10,El Paso,26404,44188,1979
11,El Paso,30660,19462,1700
12,El Paso,23885,36355,1511
13,Weld,26597,28056,1525
14,Larimer,52022,33083,2687
15,Larimer,37494,43888,2224
16,Boulder - Denver - Gilpin - Jefferson,44647,42197,2028
17,Boulder,48945,27760,1893
18,Boulder,71185,19574,2360
19,Jefferson,41495,36028,2104
20,Jefferson,46264,41199,2155
21,Adams,32705,16588,1425
22,Jefferson,41443,34994,1832
23,Broomfield - Larimer - Weld,38145,45707,2037
24,Adams,38192,31635,1779
25,Adams,29752,22749,1405
26,Arapahoe,41012,33995,1736
27,Arapahoe,38986,42710,1478
28,Arapahoe,38961,27334,1526
29,Arapahoe,32881,20508,1197
30,Douglas,33126,50905,1218
31,Arapahoe - Denver,60065,24121,1930
32,Denver,52336,21789,1738
33,Denver,56562,9674,1184
34,Denver,47420,12340,1513
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,29497,33704,1594
