district,counties,democrat,republican,other
1,Denver - Jefferson,11166,9331,1381
2,Denver,23536,9160,1988
3,Arapahoe,13889,15404,1885
4,Denver,17411,5452,1639
5,Denver,14161,5043,1456
6,Denver,21718,12217,1433
7,Denver,16131,4903,1026
8,Denver,27087,5393,1786
9,Arapahoe - Denver,16708,11595,1742
10,Boulder,24905,5972,1789
11,Boulder,16448,14216,2347
12,Boulder,20954,12813,2175
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,22815,11649,2373
14,El Paso,7170,23105,1558
15,El Paso,6498,17092,1647
16,El Paso,8825,19353,1682
17,El Paso,6003,7210,1046
18,El Paso,13945,13258,2002
19,El Paso,6799,29739,2043
20,El Paso,9840,21053,1627
21,El Paso,5326,10478,1145
22,Jefferson,12871,22021,2171
23,Jefferson,15289,14993,2662
24,Jefferson,15996,14663,2579
25,Jefferson,15954,22192,2509
26,Eagle - Routt,12120,12077,1636
27,Jefferson,15141,20992,2505
28,Jefferson,13616,14082,2110
29,Jefferson,13195,14331,2462
30,Adams,8829,9285,1349
31,Adams,10350,11053,1639
32,Adams,8586,6157,1203
33,Boulder - Broomfield,16694,16823,2331
34,Adams,9379,9808,1588
35,Adams,12584,12282,1812
36,Arapahoe,10841,11235,1587
37,Arapahoe,13267,18619,1783
38,Arapahoe,16274,23911,2264
39,Douglas - Teller,10169,25646,2084
40,Arapahoe,12580,12759,2003
41,Arapahoe,13147,10916,1604
42,Arapahoe,9093,5513,1123
43,Douglas,11795,21222,1684
44,Douglas,9726,21402,1882
45,Douglas,9724,25919,2065
46,Pueblo,14668,14989,1498
47,Fremont - Otero - Pueblo,11191,16455,1561
48,Weld,8328,21992,1790
49,Larimer - Weld,13757,26290,2619
50,Weld,6386,8734,1235
51,Larimer,11488,22167,2536
52,Larimer,17664,15989,2340
53,Larimer,16918,12255,2307
54,Delta - Mesa,6826,20791,2147
55,Mesa,9270,18616,1894
56,Adams - Arapahoe,10547,20723,1972
57,Garfield - Moffat - Rio Blanco,7927,16102,1669
58,Dolores - Montezuma - Montrose - San Miguel,8782,18463,1847
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,14228,16663,1977
60,Chaffee - Custer - Fremont - Park,9813,20141,2172
61,Delta - Gunnison - Lake - Pitkin - Summit,15472,15181,2120
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,13019,13010,1526
63,Weld,8970,19501,2045
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,7280,21624,1776
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,5093,20603,1309
