district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,10153,42612,3188
2,Clear Creek - El Paso - Fremont - Park - Teller,14982,35873,4043
3,Pueblo,24257,22970,2466
4,Douglas,17731,46076,3870
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,22976,27691,3458
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,21653,33300,3530
7,Mesa,15284,36574,3810
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,20345,29352,3474
9,El Paso,15698,49707,3304
10,El Paso,15016,36034,3073
11,El Paso,16860,15966,2571
12,El Paso,13202,29349,2733
13,Weld,13602,24641,2606
14,Larimer,32297,26030,4275
15,Larimer,23190,39582,4639
16,Boulder - Denver - Gilpin - Jefferson,29437,35331,4569
17,Boulder,33134,24122,4133
18,Boulder,48179,14548,3633
19,Jefferson,25827,31126,4625
20,Jefferson,30634,35693,5004
21,Adams,17498,14323,2661
22,Jefferson,25378,29944,4062
23,Broomfield - Larimer - Weld,23833,40269,4233
24,Adams,22397,26074,3457
25,Adams,16362,19970,2748
26,Arapahoe,26043,28633,3527
27,Arapahoe,25864,36017,3351
28,Arapahoe,23126,24183,3459
29,Arapahoe,18076,18465,2609
30,Douglas,20955,40639,3097
31,Arapahoe - Denver,40565,20085,3350
32,Denver,34730,18421,3148
33,Denver,37780,9131,2444
34,Denver,30083,9932,2890
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,19035,29963,2705
