district,counties,democrat,republican,other
1,Adams,65450,58011,7145
2,Alamosa,2632,2238,297
3,Arapahoe,116445,98374,9080
4,Archuleta,2153,3032,276
5,Baca,406,1354,106
6,Bent,548,937,95
7,Boulder,96565,36868,8327
8,Chaffee,4211,4306,416
9,Cheyenne,165,814,58
10,Clear Creek,2455,1967,260
11,Conejos,1727,1642,126
12,Costilla,941,401,77
13,Crowley,336,884,117
14,Custer,765,1656,101
15,Delta,3944,8801,716
16,Denver,172290,50257,9438
17,Dolores,280,635,56
18,Douglas,52187,81706,4293
19,Eagle,10253,6449,702
20,Elbert,2797,9099,599
21,El Paso,76678,139140,12060
22,Fremont,4927,11121,1166
23,Garfield,8840,9583,949
24,Gilpin,1441,1198,258
25,Grand,3020,3525,295
26,Gunnison,3960,2562,414
27,Hinsdale,203,295,20
28,Huerfano,1548,1445,200
29,Jackson,164,575,23
30,Jefferson,130196,114398,11843
31,Kiowa,113,604,40
32,Kit Carson,647,2327,123
33,Lake,1385,903,185
34,La Plata,12017,9658,1109
35,Larimer,72550,65054,7247
36,Las Animas,2562,2721,303
37,Lincoln,406,1525,90
38,Logan,2027,5438,308
39,Mesa,19859,35236,2803
40,Mineral,277,294,33
41,Moffat,853,3794,235
42,Montezuma,3383,5672,605
43,Montrose,4971,10907,732
44,Morgan,2646,5861,353
45,Otero,2599,3714,383
46,Ouray,1434,1151,93
47,Park,2958,4624,472
48,Phillips,477,1442,75
49,Pitkin,5505,1877,307
50,Prowers,1052,2728,201
51,Pueblo,29591,26696,3281
52,Rio Blanco,434,2166,115
53,Rio Grande,1800,2437,243
54,Routt,6092,4005,383
55,Saguache,1312,860,214
56,San Juan,243,177,29
57,San Miguel,2190,821,232
58,Sedgwick,342,806,61
59,Summit,7306,3705,503
60,Teller,3241,7364,698
61,Washington,365,1915,75
62,Weld,33375,52844,4555
63,Yuma,794,3356,108
64,Broomfield,14100,12240,1270
