district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,13841,41780,2546
2,Clear Creek - El Paso - Fremont - Park - Teller,17684,35257,3733
3,Pueblo,26458,21660,2796
4,Douglas,23961,44045,2409
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,29461,25193,2760
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,26671,32053,3132
7,Mesa,19859,35236,2803
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,26709,27353,2503
9,El Paso,19911,49243,2477
10,El Paso,18080,35541,2955
11,El Paso,18923,15288,2832
12,El Paso,15661,28887,2659
13,Weld,17692,22573,2297
14,Larimer,39111,23610,3607
15,Larimer,30356,36305,3377
16,Boulder - Denver - Gilpin - Jefferson,37533,32339,3225
17,Boulder,38972,22224,3492
18,Boulder,53699,12832,4534
19,Jefferson,32383,29421,3262
20,Jefferson,39260,33070,3417
21,Adams,20056,13480,2278
22,Jefferson,32174,27395,2989
23,Broomfield - Larimer - Weld,29691,38453,3095
24,Adams,26485,25110,2592
25,Adams,18909,19421,2275
26,Arapahoe,32994,25367,2383
27,Arapahoe,33274,32681,2132
28,Arapahoe,27549,22465,2467
29,Arapahoe,21070,17185,1954
30,Douglas,28226,37661,1884
31,Arapahoe - Denver,48114,16365,2558
32,Denver,41896,14851,2503
33,Denver,42763,6972,1845
34,Denver,35256,7928,2185
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,21751,28951,3021
