district,counties,democrat,republican,other
1,Adams,62296,58615,9702
2,Alamosa,2440,2351,355
3,Arapahoe,107347,103915,12284
4,Archuleta,2030,3103,320
5,Baca,353,1374,132
6,Bent,503,949,113
7,Boulder,97612,38932,5777
8,Chaffee,4025,4394,483
9,Cheyenne,122,850,66
10,Clear Creek,2344,1987,319
11,Conejos,1621,1659,185
12,Costilla,912,396,93
13,Crowley,344,878,118
14,Custer,740,1659,117
15,Delta,3504,9199,737
16,Denver,163783,56793,10977
17,Dolores,246,653,67
18,Douglas,45163,86627,6019
19,Eagle,9438,7102,807
20,Elbert,2556,9137,766
21,El Paso,73208,141476,13470
22,Fremont,4773,11085,1363
23,Garfield,8387,9894,1028
24,Gilpin,1450,1169,256
25,Grand,2795,3638,366
26,Gunnison,3840,2671,422
27,Hinsdale,191,307,25
28,Huerfano,1504,1449,244
29,Jackson,163,531,41
30,Jefferson,121109,120241,14794
31,Kiowa,107,616,38
32,Kit Carson,487,2448,165
33,Lake,1311,906,225
34,La Plata,11852,10174,853
35,Larimer,68659,69200,7813
36,Las Animas,2380,2803,381
37,Lincoln,321,1557,120
38,Logan,1591,5662,467
39,Mesa,15410,39313,2768
40,Mineral,254,304,43
41,Moffat,826,3727,321
42,Montezuma,3353,5784,560
43,Montrose,4071,11907,671
44,Morgan,2164,6119,529
45,Otero,2332,3814,495
46,Ouray,1355,1234,100
47,Park,2827,4673,535
48,Phillips,357,1516,104
49,Pitkin,5409,2106,234
50,Prowers,887,2874,220
51,Pueblo,27877,27572,4208
52,Rio Blanco,361,2214,146
53,Rio Grande,1566,2534,342
54,Routt,5639,4278,535
55,Saguache,1307,861,209
56,San Juan,255,182,25
57,San Miguel,2226,870,161
58,Sedgwick,262,853,91
59,Summit,6957,4046,529
60,Teller,3158,7338,771
61,Washington,237,2055,66
62,Weld,29785,54823,6203
63,Yuma,512,3678,104
64,Broomfield,13309,12833,1469
