district,counties,democrat,republican,other
1,Denver - Jefferson,12626,8497,1459
2,Denver,26638,8592,1564
3,Arapahoe,15977,14881,1795
4,Denver,19396,4960,1535
5,Denver,15840,4599,1280
6,Denver,24251,11457,1324
7,Denver,17653,4261,977
8,Denver,29845,4706,1403
9,Arapahoe - Denver,19127,10545,1563
10,Boulder,28712,5645,1084
11,Boulder,18968,13573,2012
12,Boulder,24221,12255,1629
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,26710,10987,1645
14,El Paso,8217,23449,1565
15,El Paso,7369,17292,1629
16,El Paso,10112,19239,1924
17,El Paso,6519,6858,1367
18,El Paso,15815,13114,1976
19,El Paso,8006,30181,1929
20,El Paso,11316,21279,1493
21,El Paso,5854,10064,1587
22,Jefferson,15270,21444,2029
23,Jefferson,18178,14420,2235
24,Jefferson,18907,14354,2157
25,Jefferson,19047,22026,1978
26,Eagle - Routt,15077,11380,1342
27,Jefferson,17952,20466,2294
28,Jefferson,16091,13493,1942
29,Jefferson,15595,13945,2157
30,Adams,9772,9083,1468
31,Adams,11518,10529,1889
32,Adams,9378,5717,1409
33,Boulder - Broomfield,19062,16630,1858
34,Adams,10546,9317,1722
35,Adams,14083,12067,1779
36,Arapahoe,11979,10775,1615
37,Arapahoe,15133,18303,1603
38,Arapahoe,18962,23275,1928
39,Douglas - Teller,11915,25504,1904
40,Arapahoe,14209,12115,1906
41,Arapahoe,14821,10104,1538
42,Arapahoe,10001,4980,1131
43,Douglas,13698,21249,1370
44,Douglas,11293,21294,1720
45,Douglas,11415,25918,1796
46,Pueblo,15100,14707,2166
47,Fremont - Otero - Pueblo,11629,16188,2156
48,Weld,9812,21693,2015
49,Larimer - Weld,16312,25983,2237
50,Weld,7369,8092,1567
51,Larimer,13779,21391,2421
52,Larimer,20785,15629,1730
53,Larimer,20190,11882,1854
54,Delta - Mesa,6845,22215,1570
55,Mesa,9436,20001,1401
56,Adams - Arapahoe,11740,20653,2077
57,Garfield - Moffat - Rio Blanco,9574,15835,1495
58,Dolores - Montezuma - Montrose - San Miguel,9896,19214,1459
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,17190,16452,1572
60,Chaffee - Custer - Fremont - Park,11494,19621,2203
61,Delta - Gunnison - Lake - Pitkin - Summit,18643,14573,1695
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,13955,12235,2147
63,Weld,10197,19353,2192
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,7688,22243,1954
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,5495,21126,1526
