district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,11343,43338,3394
2,Clear Creek - El Paso - Fremont - Park - Teller,17162,35125,4292
3,Pueblo,24930,22425,3637
4,Douglas,20861,45995,3383
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,27718,26685,2933
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,25388,33907,2757
7,Mesa,15410,39313,2768
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,25128,28328,2966
9,El Paso,18219,50613,2900
10,El Paso,17184,36115,3357
11,El Paso,18784,15467,2879
12,El Paso,14961,29239,3030
13,Weld,15692,23647,3217
14,Larimer,38216,25434,3297
15,Larimer,27711,38322,4170
16,Boulder - Denver - Gilpin - Jefferson,34784,34539,3749
17,Boulder,38275,23042,3333
18,Boulder,55547,13890,2198
19,Jefferson,30581,30245,4134
20,Jefferson,36371,35018,4289
21,Adams,19375,13426,3036
22,Jefferson,29996,28684,3764
23,Broomfield - Larimer - Weld,27400,39990,3885
24,Adams,24969,25687,3509
25,Adams,17952,19502,3157
26,Arapahoe,29861,27576,3167
27,Arapahoe,29761,35201,2998
28,Arapahoe,26056,22919,3401
29,Arapahoe,20145,17488,2592
30,Douglas,24302,40632,2636
31,Arapahoe - Denver,45614,18380,2909
32,Denver,39270,17032,2836
33,Denver,41433,7921,2134
34,Denver,33607,9115,2584
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,20197,29668,3656
