district,counties,democrat,republican,other
1,Adams,89404,72213,6658
2,Alamosa,3006,2801,169
3,Arapahoe,147124,112993,8093
4,Archuleta,2642,3791,228
5,Baca,340,1416,63
6,Bent,619,1154,72
7,Boulder,128598,40595,4471
8,Chaffee,5247,5055,390
9,Cheyenne,124,816,30
10,Clear Creek,2812,2248,246
11,Conejos,1668,1776,75
12,Costilla,1047,512,46
13,Crowley,395,923,68
14,Custer,838,1926,87
15,Delta,4598,9916,469
16,Denver,232798,64532,8268
17,Dolores,258,857,29
18,Douglas,65457,103880,5070
19,Eagle,13193,7848,651
20,Elbert,3014,11065,438
21,El Paso,103550,159922,10784
22,Fremont,5643,12969,768
23,Garfield,11474,11550,779
24,Gilpin,1741,1425,162
25,Grand,3365,3924,288
26,Gunnison,5325,2966,314
27,Hinsdale,197,318,26
28,Huerfano,1767,1680,139
29,Jackson,149,564,29
30,Jefferson,156641,134403,10196
31,Kiowa,106,632,16
32,Kit Carson,485,2471,75
33,Lake,1626,1014,145
34,La Plata,15404,11552,875
35,Larimer,92340,78888,5762
36,Las Animas,2860,3127,217
37,Lincoln,347,1647,74
38,Logan,1827,6350,265
39,Mesa,21350,42843,2258
40,Mineral,252,316,23
41,Moffat,922,4225,175
42,Montezuma,4231,6871,354
43,Montrose,5339,12866,522
44,Morgan,2826,7351,321
45,Otero,2726,4377,270
46,Ouray,1820,1269,89
47,Park,3455,5536,397
48,Phillips,408,1554,48
49,Pitkin,7038,2349,270
50,Prowers,1035,2958,109
51,Pueblo,32788,30658,2430
52,Rio Blanco,468,2415,76
53,Rio Grande,1928,2804,159
54,Routt,7797,4861,396
55,Saguache,1475,1040,105
56,San Juan,259,173,15
57,San Miguel,2959,941,126
58,Sedgwick,274,876,36
59,Summit,8821,4491,516
60,Teller,3738,8600,399
61,Washington,306,2024,55
62,Weld,44546,74015,4869
63,Yuma,695,3247,80
64,Broomfield,19979,14378,1100
