district,counties,democrat,republican,other
1,Denver - Jefferson,17615,8877,1251
2,Denver,40390,8698,1363
3,Arapahoe,23090,15155,1315
4,Denver,27476,5548,1222
5,Denver,28070,6035,1224
6,Denver,32590,11205,1059
7,Denver,27222,5325,1108
8,Denver,40564,4859,1163
9,Arapahoe - Denver,27359,10499,1335
10,Boulder,37677,5343,897
11,Boulder,27230,13446,1569
12,Boulder,34000,12024,1312
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,33558,11555,1302
14,El Paso,14288,26248,1501
15,El Paso,12618,19869,1738
16,El Paso,13947,19255,1626
17,El Paso,10140,7571,1211
18,El Paso,21390,13666,1596
19,El Paso,12422,35290,1785
20,El Paso,15547,21626,1288
21,El Paso,8802,11481,1387
22,Jefferson,20387,22183,1667
23,Jefferson,24541,15031,1849
24,Jefferson,25694,14650,1790
25,Jefferson,25723,22967,1675
26,Eagle - Routt,21965,12591,1127
27,Jefferson,25817,22723,2037
28,Jefferson,22400,14473,1623
29,Jefferson,21799,14915,1858
30,Adams,16084,11432,1324
31,Adams,16719,12111,1488
32,Adams,14121,6675,1328
33,Boulder - Broomfield,30569,17660,1535
34,Adams,15253,10531,1444
35,Adams,20365,13142,1500
36,Arapahoe,18684,11941,1297
37,Arapahoe,22013,18002,1101
38,Arapahoe,25349,22630,1522
39,Douglas - Teller,16946,29461,1559
40,Arapahoe,20011,12501,1358
41,Arapahoe,20857,10033,1124
42,Arapahoe,14306,5046,861
43,Douglas,20487,22286,1214
44,Douglas,19381,24973,1825
45,Douglas,18745,30812,1828
46,Pueblo,18112,15681,1654
47,Fremont - Otero - Pueblo,14207,17102,1668
48,Weld,14852,28375,1865
49,Larimer - Weld,24376,32324,2082
50,Weld,11332,10520,1448
51,Larimer,19880,23323,1951
52,Larimer,30459,15906,1418
53,Larimer,27811,11225,1332
54,Delta - Mesa,10314,23556,1397
55,Mesa,14757,20821,1306
56,Adams - Arapahoe,19223,26300,1795
57,Garfield - Moffat - Rio Blanco,13225,18137,1126
58,Dolores - Montezuma - Montrose - San Miguel,13575,21190,1155
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,23304,18734,1357
60,Chaffee - Custer - Fremont - Park,15255,22830,1819
61,Delta - Gunnison - Lake - Pitkin - Summit,25278,15488,1452
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,16237,13658,1574
63,Weld,16304,26215,2010
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,9396,24462,1511
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,6780,22610,1267
