district,counties,democrat,republican,other
1,Denver - Jefferson,17021,8367,1269
2,Denver,37036,8427,2096
3,Arapahoe,21236,14417,1816
4,Denver,25715,5238,1512
5,Denver,26280,5695,1619
6,Denver,30410,10696,1447
7,Denver,26356,5006,1151
8,Denver,38102,4655,1676
9,Arapahoe - Denver,25345,10080,1794
10,Boulder,35030,5608,1522
11,Boulder,25125,13102,2155
12,Boulder,31263,11822,1986
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,30950,11054,2040
14,El Paso,12969,25544,1915
15,El Paso,11851,19235,1962
16,El Paso,12768,18695,1862
17,El Paso,9798,7382,1280
18,El Paso,19619,13236,2034
19,El Paso,11253,34170,2321
20,El Paso,14117,21047,1676
21,El Paso,8491,11249,1364
22,Jefferson,18567,21050,2128
23,Jefferson,22919,14283,2319
24,Jefferson,23627,13881,2307
25,Jefferson,23309,22063,2345
26,Eagle - Routt,19067,11533,1681
27,Jefferson,23665,21679,2581
28,Jefferson,20922,13749,1973
29,Jefferson,20310,14218,2275
30,Adams,15329,10603,1513
31,Adams,15796,11324,1736
32,Adams,13762,6160,1277
33,Boulder - Broomfield,27522,17123,2275
34,Adams,14472,9930,1561
35,Adams,18795,12521,1837
36,Arapahoe,17962,11224,1560
37,Arapahoe,20165,17110,1744
38,Arapahoe,22831,21541,2188
39,Douglas - Teller,15426,28316,2108
40,Arapahoe,18966,11685,1787
41,Arapahoe,19770,9422,1452
42,Arapahoe,13859,4719,994
43,Douglas,18560,21423,1736
44,Douglas,17811,23791,2275
45,Douglas,17117,29518,2391
46,Pueblo,17486,15462,1503
47,Fremont - Otero - Pueblo,13640,16823,1526
48,Weld,13418,27359,2103
49,Larimer - Weld,21828,31238,2724
50,Weld,10839,10060,1344
51,Larimer,18120,22397,2434
52,Larimer,27292,15423,2235
53,Larimer,24963,10823,2031
54,Delta - Mesa,9124,22278,1903
55,Mesa,12939,19759,1850
56,Adams - Arapahoe,17990,24680,2251
57,Garfield - Moffat - Rio Blanco,11859,16718,1623
58,Dolores - Montezuma - Montrose - San Miguel,12332,19867,1568
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,20960,16971,2181
60,Chaffee - Custer - Fremont - Park,13787,21615,2160
61,Delta - Gunnison - Lake - Pitkin - Summit,22329,14538,2126
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,15879,13032,1380
63,Weld,15164,24906,2440
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,8787,23290,1537
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,6318,21163,1255
