district,counties,democrat,republican,other
1,Adams,93779,68938,5993
2,Alamosa,3087,2705,203
3,Arapahoe,151754,110376,6532
4,Archuleta,2697,3763,228
5,Baca,378,1398,65
6,Bent,669,1111,72
7,Boulder,128165,42867,3042
8,Chaffee,5419,4992,341
9,Cheyenne,148,801,32
10,Clear Creek,2870,2242,186
11,Conejos,1710,1702,111
12,Costilla,1063,492,59
13,Crowley,438,885,70
14,Custer,902,1878,73
15,Delta,4735,9773,517
16,Denver,232255,67147,5904
17,Dolores,271,830,54
18,Douglas,69819,101027,3500
19,Eagle,13019,8117,501
20,Elbert,3345,10786,341
21,El Paso,102943,163643,7784
22,Fremont,6196,12406,760
23,Garfield,11379,11496,658
24,Gilpin,1797,1410,126
25,Grand,3458,3921,217
26,Gunnison,5426,2949,253
27,Hinsdale,208,324,18
28,Huerfano,1847,1639,119
29,Jackson,147,594,22
30,Jefferson,161185,130941,7728
31,Kiowa,124,615,18
32,Kit Carson,557,2403,80
33,Lake,1732,956,145
34,La Plata,15088,12053,725
35,Larimer,94951,77733,4457
36,Las Animas,3134,2894,195
37,Lincoln,383,1628,53
38,Logan,1962,6196,291
39,Mesa,21656,42586,2244
40,Mineral,266,311,18
41,Moffat,995,4160,175
42,Montezuma,4229,6886,363
43,Montrose,5489,12686,550
44,Morgan,2986,7155,357
45,Otero,3037,4112,269
46,Ouray,1806,1294,68
47,Park,3620,5455,325
48,Phillips,434,1545,47
49,Pitkin,7007,2513,172
50,Prowers,1135,2873,111
51,Pueblo,35115,28960,2058
52,Rio Blanco,467,2409,101
53,Rio Grande,1983,2767,175
54,Routt,7725,4998,289
55,Saguache,1548,1010,94
56,San Juan,274,164,12
57,San Miguel,2992,976,69
58,Sedgwick,313,849,24
59,Summit,8927,4578,341
60,Teller,3866,8568,360
61,Washington,325,1973,74
62,Weld,47266,72019,4359
63,Yuma,774,3168,94
64,Broomfield,20441,14281,770
