district,counties,democrat,republican,other
1,Denver - Jefferson,17755,8995,819
2,Denver,38541,10385,801
3,Arapahoe,22373,15864,865
4,Denver,26853,6292,741
5,Denver,27250,6806,817
6,Denver,31382,12402,577
7,Denver,26960,5758,682
8,Denver,39260,6166,747
9,Arapahoe - Denver,26710,11312,793
10,Boulder,36203,6502,602
11,Boulder,26684,14190,962
12,Boulder,32685,13206,856
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,32384,12429,943
14,El Paso,13321,27535,887
15,El Paso,12356,20526,1078
16,El Paso,13106,20515,972
17,El Paso,10060,7913,863
18,El Paso,19379,15998,1037
19,El Paso,11923,35985,1208
20,El Paso,13967,23335,831
21,El Paso,8831,11836,908
22,Jefferson,19616,22606,1045
23,Jefferson,23945,15598,1120
24,Jefferson,24929,15326,1084
25,Jefferson,24520,23618,975
26,Eagle - Routt,20744,13115,790
27,Jefferson,24904,23485,1223
28,Jefferson,21800,14964,1039
29,Jefferson,21386,15247,1237
30,Adams,16163,11229,1020
31,Adams,16773,12015,1097
32,Adams,14423,6535,894
33,Boulder - Broomfield,28922,18988,1000
34,Adams,15341,10504,1014
35,Adams,19936,13478,1021
36,Arapahoe,18727,12064,889
37,Arapahoe,21196,18739,738
38,Arapahoe,24304,23648,1010
39,Douglas - Teller,16503,29910,1021
40,Arapahoe,19838,12718,1078
41,Arapahoe,20584,10417,799
42,Arapahoe,14241,5147,697
43,Douglas,19687,22908,807
44,Douglas,19020,25518,1013
45,Douglas,18475,31259,1019
46,Pueblo,18754,15478,1030
47,Fremont - Otero - Pueblo,14871,16827,1111
48,Weld,15038,27997,1437
49,Larimer - Weld,23911,32722,1415
50,Weld,11629,10274,1070
51,Larimer,19652,23547,1400
52,Larimer,28987,17025,1023
53,Larimer,26504,12256,949
54,Delta - Mesa,9471,23962,1329
55,Mesa,13383,21790,1107
56,Adams - Arapahoe,19263,26084,1335
57,Garfield - Moffat - Rio Blanco,12841,18065,934
58,Dolores - Montezuma - Montrose - San Miguel,12981,21378,1036
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,22300,19174,1211
60,Chaffee - Custer - Fremont - Park,15363,22658,1375
61,Delta - Gunnison - Lake - Pitkin - Summit,24402,16027,1076
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,16805,13466,1089
63,Weld,16496,25931,1522
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,9931,24163,999
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,7174,22117,925
