district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,15410,48893,2028
2,Clear Creek - El Paso - Fremont - Park - Teller,22719,40715,2403
3,Pueblo,31595,23515,1799
4,Douglas,33142,55116,1987
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,37546,29624,1947
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,32846,38652,2069
7,Mesa,21656,42586,2244
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,33098,32156,1803
9,El Paso,26351,60496,1815
10,El Paso,23924,39314,1751
11,El Paso,25201,18714,1710
12,El Paso,21300,33075,1736
13,Weld,24245,29948,2224
14,Larimer,52048,27177,1821
15,Larimer,38332,43149,2414
16,Boulder - Denver - Gilpin - Jefferson,45483,36885,1886
17,Boulder,53830,25052,1726
18,Boulder,69041,15476,1188
19,Jefferson,40875,32622,2263
20,Jefferson,49690,39474,2173
21,Adams,29265,15810,1943
22,Jefferson,39813,31039,1998
23,Broomfield - Larimer - Weld,43850,51370,2492
24,Adams,36673,29087,2080
25,Adams,27841,24041,1970
26,Arapahoe,41741,29366,1636
27,Arapahoe,39999,35708,1446
28,Arapahoe,37432,24342,1850
29,Arapahoe,30211,20088,1532
30,Douglas,36677,45911,1513
31,Arapahoe - Denver,62140,20220,1430
32,Denver,54632,19337,1467
33,Denver,58138,10500,1322
34,Denver,52131,12632,1415
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,24841,31837,1911
