district,counties,democrat,republican,other
1,Adams,92607,68786,6030
2,Alamosa,3034,2708,202
3,Arapahoe,149594,109865,7022
4,Archuleta,2640,3711,261
5,Baca,327,1421,73
6,Bent,660,1088,78
7,Boulder,121955,46535,3047
8,Chaffee,5219,5023,351
9,Cheyenne,135,804,30
10,Clear Creek,2815,2212,214
11,Conejos,1710,1721,88
12,Costilla,1080,469,56
13,Crowley,398,906,69
14,Custer,824,1925,83
15,Delta,4588,9777,563
16,Denver,230382,66728,6180
17,Dolores,254,843,52
18,Douglas,67711,101526,3822
19,Eagle,12593,8207,535
20,Elbert,3188,10840,400
21,El Paso,104790,158461,9227
22,Fremont,5741,12721,807
23,Garfield,11116,11605,686
24,Gilpin,1720,1440,150
25,Grand,3331,3882,257
26,Gunnison,5231,3024,270
27,Hinsdale,202,310,28
28,Huerfano,1782,1633,156
29,Jackson,137,586,23
30,Jefferson,159796,130815,8304
31,Kiowa,104,633,17
32,Kit Carson,524,2428,74
33,Lake,1659,963,153
34,La Plata,15227,11554,795
35,Larimer,92714,78184,4733
36,Las Animas,2962,3003,197
37,Lincoln,363,1627,54
38,Logan,1850,6267,261
39,Mesa,21444,42314,2338
40,Mineral,254,309,14
41,Moffat,925,4185,191
42,Montezuma,4184,6792,397
43,Montrose,5342,12713,584
44,Morgan,2895,7225,326
45,Otero,2859,4237,288
46,Ouray,1784,1287,86
47,Park,3503,5451,370
48,Phillips,394,1564,48
49,Pitkin,6768,2610,205
50,Prowers,1064,2889,121
51,Pueblo,33287,29937,2439
52,Rio Blanco,431,2422,93
53,Rio Grande,1937,2794,148
54,Routt,7528,5025,317
55,Saguache,1521,999,112
56,San Juan,261,166,13
57,San Miguel,2928,977,84
58,Sedgwick,276,872,32
59,Summit,8616,4604,420
60,Teller,3733,8528,412
61,Washington,303,2000,62
62,Weld,48396,70039,5037
63,Yuma,701,3211,97
64,Broomfield,19984,14260,893
