district,counties,democrat,republican,other
1,Denver - Jefferson,17658,8926,849
2,Denver,38190,10297,889
3,Arapahoe,21971,15826,978
4,Denver,26574,6310,769
5,Denver,26824,7005,797
6,Denver,31253,12196,624
7,Denver,26782,5780,678
8,Denver,39131,5914,788
9,Arapahoe - Denver,26387,11273,866
10,Boulder,34162,7945,556
11,Boulder,25437,14886,985
12,Boulder,31353,13894,847
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,30712,13277,1010
14,El Paso,13417,26976,1091
15,El Paso,12167,20253,1314
16,El Paso,13487,19690,1163
17,El Paso,9967,7819,945
18,El Paso,20605,14250,1238
19,El Paso,11773,35556,1468
20,El Paso,14711,22113,995
21,El Paso,8663,11804,1013
22,Jefferson,19453,22555,1170
23,Jefferson,23772,15465,1255
24,Jefferson,24674,15273,1128
25,Jefferson,24318,23833,1084
26,Eagle - Routt,20121,13232,852
27,Jefferson,24703,23395,1288
28,Jefferson,21715,14901,1079
29,Jefferson,21071,15299,1295
30,Adams,15874,11228,1031
31,Adams,16618,11978,1094
32,Adams,14215,6608,856
33,Boulder - Broomfield,28278,18913,1186
34,Adams,15126,10563,1007
35,Adams,19858,13298,1024
36,Arapahoe,18360,12101,973
37,Arapahoe,20832,18723,817
38,Arapahoe,24025,23434,1068
39,Douglas - Teller,15936,30009,1146
40,Arapahoe,19536,12684,1123
41,Arapahoe,20420,10223,866
42,Arapahoe,14156,5110,677
43,Douglas,19231,23004,832
44,Douglas,18492,25608,1101
45,Douglas,17785,31433,1155
46,Pueblo,17843,15888,1270
47,Fremont - Otero - Pueblo,13965,17434,1211
48,Weld,15703,26901,1807
49,Larimer - Weld,23066,32979,1592
50,Weld,12544,9523,1039
51,Larimer,19064,23760,1458
52,Larimer,28530,16939,1071
53,Larimer,26150,12213,1010
54,Delta - Mesa,9372,23838,1389
55,Mesa,13217,21648,1152
56,Adams - Arapahoe,18883,25996,1463
57,Garfield - Moffat - Rio Blanco,12472,18212,970
58,Dolores - Montezuma - Montrose - San Miguel,12708,21325,1117
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,22278,18614,1346
60,Chaffee - Custer - Fremont - Park,14584,22981,1493
61,Delta - Gunnison - Lake - Pitkin - Summit,23553,16220,1245
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,16359,13624,1140
63,Weld,16053,25908,1793
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,9369,24407,1071
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,6775,22371,868
