district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,14889,48935,2182
2,Clear Creek - El Paso - Fremont - Park - Teller,21822,40883,2701
3,Pueblo,30065,24301,2138
4,Douglas,31975,55479,2139
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,36260,29914,2105
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,32620,38043,2272
7,Mesa,21444,42314,2338
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,32084,32309,1987
9,El Paso,26938,58843,2218
10,El Paso,24416,37978,2124
11,El Paso,25983,17385,1932
12,El Paso,21423,32284,2055
13,Weld,25726,28322,2491
14,Larimer,51305,27056,1926
15,Larimer,37020,43656,2560
16,Boulder - Denver - Gilpin - Jefferson,44956,36993,2092
17,Boulder,51761,26054,1768
18,Boulder,65124,18048,1126
19,Jefferson,40352,32653,2333
20,Jefferson,49312,39319,2394
21,Adams,28891,15919,1845
22,Jefferson,39512,31013,2139
23,Broomfield - Larimer - Weld,42783,51352,2888
24,Adams,36200,28999,2132
25,Adams,27516,23868,2053
26,Arapahoe,41153,29145,1797
27,Arapahoe,39409,35551,1570
28,Arapahoe,36845,24262,1985
29,Arapahoe,29860,20028,1595
30,Douglas,35736,46047,1683
31,Arapahoe - Denver,61725,19931,1531
32,Denver,54213,19138,1569
33,Denver,57808,10384,1369
34,Denver,51417,12864,1435
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,23738,32371,2003
