district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
1,Denver - Jefferson,49086,37070,22584,11448,0,34032,1,0,1,0
2,Denver,77666,60838,45369,10935,0,56304,1,0,1,0
3,Arapahoe,63259,49748,28071,18008,1411,47490,1,0,0,0
4,Denver,59220,45484,34501,7651,0,42152,1,0,1,0
5,Denver,73882,51091,37132,9203,633,46968,1,0,1,0
6,Denver,66490,54271,36302,12711,1508,50521,1,0,1,0
7,Denver,64931,48581,38938,0,0,38938,1,0,1,0
8,Denver,73072,56411,46910,0,0,46910,1,0,1,0
9,Arapahoe - Denver,64511,49285,32059,12438,1373,45870,1,0,1,0
10,Boulder,62680,49062,39269,6733,0,46002,1,0,1,0
11,Boulder,63170,51807,32803,16171,0,48974,1,0,1,0
12,Boulder,67643,57329,39674,14227,0,53901,1,0,1,0
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,69301,53978,34652,14418,1713,50783,1,0,1,0
14,El Paso,74302,58917,19688,34013,2189,55890,0,1,0,1
15,El Paso,69452,51974,17535,28944,2459,48938,0,1,0,0
16,El Paso,62132,46314,18070,23842,1813,43725,0,1,0,0
17,El Paso,48034,29049,15780,10398,1621,27799,1,0,0,0
18,El Paso,66200,46919,26325,16331,1907,44563,1,0,0,0
19,El Paso,82741,67395,16198,48521,0,64719,0,1,0,1
20,El Paso,62174,48750,17799,27376,1446,46621,0,1,0,0
21,El Paso,51711,33849,12999,17448,1743,32190,0,1,0,0
22,Jefferson,63404,54459,23467,26421,1641,51529,0,1,0,0
23,Jefferson,66047,52301,29615,17126,2437,49178,1,0,1,0
24,Jefferson,63129,51392,30671,17228,0,47899,1,0,1,0
25,Jefferson,69943,60299,30249,27023,0,57272,1,0,0,0
26,Eagle - Routt,59505,46519,32059,0,0,32059,1,0,1,0
27,Jefferson,74302,63532,29566,27674,3468,60708,1,0,0,0
28,Jefferson,61545,49383,26592,17030,2519,46141,1,0,0,0
29,Jefferson,60668,49654,26226,17931,2590,46747,1,0,0,0
30,Adams,57302,42461,22445,17036,0,39481,1,0,0,0
31,Adams,54856,41826,27687,0,0,27687,1,0,1,0
32,Adams,46675,33083,19597,9368,1810,30775,1,0,1,0
33,Boulder - Broomfield,77642,64604,37901,23170,0,61071,1,0,1,0
34,Adams,51249,37822,19845,13694,1760,35299,1,0,0,0
35,Adams,59360,46172,27019,16248,0,43267,1,0,1,0
36,Arapahoe,62170,45889,26687,16935,0,43622,1,0,1,0
37,Arapahoe,64349,52174,27829,22242,0,50071,1,0,0,0
38,Arapahoe,69259,58918,31504,25191,0,56695,1,0,0,0
39,Douglas - Teller,74494,62890,20257,37657,1823,59737,0,1,0,1
40,Arapahoe,60096,45272,25508,15807,1805,43120,1,0,0,0
41,Arapahoe,56846,41931,26167,13501,0,39668,1,0,1,0
42,Arapahoe,43814,28198,22211,0,0,22211,1,0,1,0
43,Douglas,63480,54415,23859,26758,0,50617,0,1,0,0
44,Douglas,77203,63155,24795,32963,1795,59553,0,1,0,0
45,Douglas,84221,70803,24779,40418,1958,67155,0,1,0,1
46,Pueblo,61401,46810,24118,19532,1673,45323,1,0,0,0
47,Fremont - Otero - Pueblo,59056,44496,19785,23310,0,43095,0,1,0,0
48,Weld,73809,59313,18802,37670,0,56472,0,1,0,1
49,Larimer - Weld,92787,78222,28678,44957,0,73635,0,1,0,1
50,Weld,46129,30271,16402,0,9992,26394,1,0,1,0
51,Larimer,71019,57576,2390,37654,0,40044,0,1,0,1
52,Larimer,74978,60551,36140,20528,0,56668,1,0,1,0
53,Larimer,62986,48056,32184,0,10543,42727,1,0,1,0
54,Delta - Mesa,61687,47729,11715,34112,0,45827,0,1,0,1
55,Mesa,65272,49989,15570,30773,1688,48031,0,1,0,1
56,Adams - Arapahoe,80763,65487,23790,35520,2531,61841,0,1,0,0
57,Garfield - Moffat - Rio Blanco,55208,42028,14692,25433,0,40125,0,1,0,1
58,Dolores - Montezuma - Montrose - San Miguel,61058,47443,15897,29424,0,45321,0,1,0,1
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,74134,55639,29524,23788,0,53312,1,0,0,0
60,Chaffee - Custer - Fremont - Park,65854,51762,18563,30817,0,49380,0,1,0,1
61,Delta - Gunnison - Lake - Pitkin - Summit,70264,54263,31228,20448,0,51676,1,0,1,0
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,56779,41037,22945,16742,0,39687,1,0,0,0
63,Weld,76575,61510,20906,35064,2711,58681,0,1,0,0
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,58913,45705,11876,31908,0,43784,0,1,0,1
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,49643,38500,0,31857,0,31857,0,1,0,1
