district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
1,Denver - Jefferson,46565,30583,17290,9350,1190,27830,1,0,1,0
2,Denver,80271,49231,30417,10444,2398,43259,1,0,1,0
3,Arapahoe,54638,41489,19610,17194,1825,38629,1,0,0,0
4,Denver,54186,34739,24860,5823,0,30683,1,0,1,0
5,Denver,56054,31467,20483,6027,1058,27568,1,0,1,0
6,Denver,67331,46022,27542,12559,1288,41389,1,0,1,0
7,Denver,46954,31129,23430,4755,0,28185,1,0,1,0
8,Denver,74696,46540,35135,5623,1499,42257,1,0,1,0
9,Arapahoe - Denver,62288,40566,23261,13099,0,36360,1,0,1,0
10,Boulder,70227,47661,33561,8317,0,41878,1,0,1,0
11,Boulder,56374,42844,22222,16899,0,39121,1,0,0,0
12,Boulder,58679,45630,27114,12816,2139,42069,1,0,1,0
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,73674,50176,30814,12596,2526,45936,1,0,1,0
14,El Paso,57125,41327,0,26346,8179,34525,0,1,0,1
15,El Paso,50300,34300,0,20900,7976,28876,0,1,0,1
16,El Paso,57383,40092,0,21781,10161,31942,0,1,0,1
17,El Paso,41688,22734,11212,7757,1576,20545,1,0,0,0
18,El Paso,61379,40239,19588,15021,2301,36910,1,0,0,0
19,El Paso,60649,46995,0,33606,7238,40844,0,1,0,1
20,El Paso,57498,41960,12122,24490,0,36612,0,1,0,1
21,El Paso,40313,25050,0,13707,7150,20857,0,1,0,1
22,Jefferson,60393,47495,19289,23117,1781,44187,0,1,0,0
23,Jefferson,59994,43292,20358,17697,2529,40584,1,0,0,0
24,Jefferson,58364,43421,23639,14757,1981,40377,1,0,0,0
25,Jefferson,64907,51251,19006,25835,2448,47289,0,1,0,0
26,Eagle - Routt,52464,36264,18470,14637,0,33107,1,0,0,0
27,Jefferson,60524,47651,18838,23365,2190,44393,0,1,0,0
28,Jefferson,54547,39749,19603,15968,1618,37189,1,0,0,0
29,Jefferson,55467,40625,19368,16281,2129,37778,1,0,0,0
30,Adams,41833,27903,14130,10260,1205,25595,1,0,0,0
31,Adams,47952,33424,18800,12301,0,31101,1,0,1,0
32,Adams,37358,24242,15022,6043,1179,22244,1,0,1,0
33,Boulder - Broomfield,59380,44961,21516,19272,2182,42970,1,0,0,0
34,Adams,45766,30689,16944,11014,0,27958,1,0,1,0
35,Adams,52656,37239,19349,15075,0,34424,1,0,0,0
36,Arapahoe,46266,32909,17577,11636,1247,30460,1,0,0,0
37,Arapahoe,55878,44027,17864,21318,1509,40691,0,1,0,0
38,Arapahoe,63512,52512,19033,28229,1878,49140,0,1,0,0
39,Douglas - Teller,60720,46645,13173,28080,2200,43453,0,1,0,1
40,Arapahoe,51884,37875,20163,15106,0,35269,1,0,0,0
41,Arapahoe,49597,35470,19173,11514,1855,32542,1,0,0,0
42,Arapahoe,38003,24358,16402,5960,0,22362,1,0,1,0
43,Douglas,57021,44484,15625,25814,0,41439,0,1,0,1
44,Douglas,57634,42783,0,27381,9845,37226,0,1,0,1
45,Douglas,58784,45665,12388,28681,1983,43052,0,1,0,1
46,Pueblo,59047,41034,23892,15069,0,38961,1,0,1,0
47,Fremont - Otero - Pueblo,55577,37242,16993,18215,0,35208,0,1,0,0
48,Weld,54453,40667,0,25779,8866,34645,0,1,0,1
49,Larimer - Weld,64583,50773,19991,28053,0,48044,0,1,0,0
50,Weld,41941,24914,14937,9119,0,24056,1,0,1,0
51,Larimer,60867,46100,18165,23760,1928,43853,0,1,0,0
52,Larimer,63360,47038,24841,19442,0,44283,1,0,0,0
53,Larimer,65184,45164,26405,15018,0,41423,1,0,1,0
54,Delta - Mesa,54938,38407,0,20111,13951,34062,0,1,0,0
55,Mesa,58848,40125,14318,22056,1507,37881,0,1,0,0
56,Adams - Arapahoe,52726,40626,14070,22270,1544,37884,0,1,0,0
57,Garfield - Moffat - Rio Blanco,49460,34064,12434,18233,1393,32060,0,1,0,0
58,Dolores - Montezuma - Montrose - San Miguel,55077,38003,11385,22071,2095,35551,0,1,0,1
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,64167,44679,21632,20715,0,42347,1,0,0,0
60,Chaffee - Custer - Fremont - Park,57793,40189,12714,22457,2004,37175,0,1,0,1
61,Delta - Gunnison - Lake - Pitkin - Summit,66351,43713,19621,14124,7647,41392,1,0,0,0
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,53833,36807,21125,13685,0,34810,1,0,1,0
63,Weld,52976,38778,14960,21162,0,36122,0,1,0,0
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,52098,37609,0,24405,7770,32175,0,1,0,1
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,45553,33079,0,26545,0,26545,0,1,0,1
