district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,91882,59169,0,45689,7876,53565,0,1,0,1
2,Clear Creek - El Paso - Fremont - Park - Teller,96816,57696,0,38895,13019,51914,0,1,0,1
3,Pueblo,95505,51759,27813,22814,0,50627,1,0,0,0
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,101368,58615,27526,26225,2374,56125,1,0,0,0
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,110675,63104,0,43482,0,43482,0,1,0,1
7,Mesa,109032,58748,16506,39580,0,56086,0,1,0,1
9,El Paso,112334,72599,0,53867,0,53867,0,1,0,1
11,El Paso,87211,37794,18815,14978,2282,36075,1,0,0,0
13,Weld,86254,43355,14879,26063,0,40942,0,1,0,1
15,Larimer,108432,71306,0,47581,0,47581,0,1,0,1
16,Boulder - Denver - Gilpin - Jefferson,119872,74119,33734,35631,0,69365,0,1,0,0
19,Jefferson,108987,66106,29244,29907,3664,62815,0,1,0,0
20,Jefferson,121735,76948,33543,33104,5018,71665,1,0,0,0
22,Jefferson,109384,63561,30510,29174,0,59684,1,0,0,0
24,Adams,100674,55054,25268,26164,0,51432,0,1,0,0
30,Douglas,110059,68513,21566,39897,2359,63822,0,1,0,1
32,Denver,113977,60123,35852,17356,2560,55768,1,0,1,0
34,Denver,103921,46179,31889,8390,2592,42871,1,0,1,0
