State,Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
Colorado,2020,General,ADAMS,4253001245,419,34,453,360,79.47%
Colorado,2020,General,ADAMS,4255601241,53,6,59,40,67.80%
Colorado,2020,General,ADAMS,4255601246,1460,135,1595,1230,77.12%
Colorado,2020,General,ADAMS,4255601247,1030,74,1104,921,83.42%
Colorado,2020,General,ADAMS,4255601248,1092,94,1186,969,81.70%
Colorado,2020,General,ADAMS,4255601249,386,46,432,342,79.17%
Colorado,2020,General,ADAMS,4255601251,1323,127,1450,1166,80.41%
Colorado,2020,General,ADAMS,6243101150,1653,107,1760,1463,83.13%
Colorado,2020,General,ADAMS,6243101151,1488,93,1581,1308,82.73%
Colorado,2020,General,ADAMS,6243101159,872,27,899,803,89.32%
Colorado,2020,General,ADAMS,6243101256,1311,65,1376,1195,86.85%
Colorado,2020,General,ADAMS,6243401075,725,134,859,603,70.20%
Colorado,2020,General,ADAMS,6243401076,1329,85,1414,1204,85.15%
Colorado,2020,General,ADAMS,6243401077,942,58,1000,830,83.00%
Colorado,2020,General,ADAMS,6243401252,1638,110,1748,1494,85.47%
Colorado,2020,General,ADAMS,6245601071,939,67,1006,842,83.70%
Colorado,2020,General,ADAMS,6245601072,821,21,842,735,87.29%
Colorado,2020,General,ADAMS,6245601073,1214,60,1274,1135,89.09%
Colorado,2020,General,ADAMS,6245601074,1186,52,1238,1054,85.14%
Colorado,2020,General,ADAMS,6245601160,615,12,627,562,89.63%
Colorado,2020,General,ADAMS,6245601259,747,9,756,692,91.53%
Colorado,2020,General,ADAMS,6253001152,1291,95,1386,1147,82.76%
Colorado,2020,General,ADAMS,6253001153,956,48,1004,839,83.57%
Colorado,2020,General,ADAMS,6253001154,69,3,72,54,75.00%
Colorado,2020,General,ADAMS,6253001155,398,27,425,357,84.00%
Colorado,2020,General,ADAMS,6253001156,944,34,978,850,86.91%
Colorado,2020,General,ADAMS,6253001157,968,57,1025,897,87.51%
Colorado,2020,General,ADAMS,6253001226,239,9,248,195,78.63%
Colorado,2020,General,ADAMS,6253001229,1603,370,1973,1011,51.24%
Colorado,2020,General,ADAMS,6253001230,1784,259,2043,1362,66.67%
Colorado,2020,General,ADAMS,6253001231,1983,249,2232,1514,67.83%
Colorado,2020,General,ADAMS,6253001232,2154,477,2631,1564,59.45%
Colorado,2020,General,ADAMS,6253001233,1606,168,1774,1232,69.45%
Colorado,2020,General,ADAMS,6253001234,1289,172,1461,949,64.96%
Colorado,2020,General,ADAMS,6253001235,865,162,1027,555,54.04%
Colorado,2020,General,ADAMS,6253001236,1444,136,1580,1085,68.67%
Colorado,2020,General,ADAMS,6253001237,1199,178,1377,814,59.11%
Colorado,2020,General,ADAMS,6253001238,1358,123,1481,1056,71.30%
Colorado,2020,General,ADAMS,6253001239,1219,109,1328,965,72.67%
Colorado,2020,General,ADAMS,6253001240,1201,63,1264,1017,80.46%
Colorado,2020,General,ADAMS,6253001242,527,41,568,456,80.28%
Colorado,2020,General,ADAMS,6253001243,1042,58,1100,928,84.36%
Colorado,2020,General,ADAMS,6253001253,676,142,818,467,57.09%
Colorado,2020,General,ADAMS,6253001258,1088,129,1217,872,71.65%
Colorado,2020,General,ADAMS,6253101158,1107,73,1180,960,81.36%
Colorado,2020,General,ADAMS,6255601161,382,15,397,345,86.90%
Colorado,2020,General,ADAMS,6255601162,1020,27,1047,950,90.74%
Colorado,2020,General,ADAMS,6255601163,678,34,712,601,84.41%
Colorado,2020,General,ADAMS,6255601164,558,25,583,500,85.76%
Colorado,2020,General,ADAMS,6255601165,1696,69,1765,1638,92.80%
Colorado,2020,General,ADAMS,6255601166,507,37,544,479,88.05%
Colorado,2020,General,ADAMS,6255601167,633,32,665,583,87.67%
Colorado,2020,General,ADAMS,6255601168,788,34,822,713,86.74%
Colorado,2020,General,ADAMS,6255601169,533,29,562,476,84.70%
Colorado,2020,General,ADAMS,6255601170,1524,148,1672,1113,66.57%
Colorado,2020,General,ADAMS,6255601171,1507,107,1614,1213,75.15%
Colorado,2020,General,ADAMS,6255601172,316,42,358,254,70.95%
Colorado,2020,General,ADAMS,6255601173,89,4,93,81,87.10%
Colorado,2020,General,ADAMS,6255601174,525,52,577,463,80.24%
Colorado,2020,General,ADAMS,6255601175,1486,133,1619,1303,80.48%
Colorado,2020,General,ADAMS,6255601176,534,74,608,465,76.48%
Colorado,2020,General,ADAMS,6255601177,595,19,614,509,82.90%
Colorado,2020,General,ADAMS,6255601178,46,0,46,43,93.48%
Colorado,2020,General,ADAMS,6255601179,111,0,111,101,90.99%
Colorado,2020,General,ADAMS,6255601180,1052,77,1129,940,83.26%
Colorado,2020,General,ADAMS,6255601181,1386,153,1539,1177,76.48%
Colorado,2020,General,ADAMS,6255601182,903,82,985,767,77.87%
Colorado,2020,General,ADAMS,6255601183,388,40,428,339,79.21%
Colorado,2020,General,ADAMS,6255601184,367,31,398,313,78.64%
Colorado,2020,General,ADAMS,6255601185,665,33,698,585,83.81%
Colorado,2020,General,ADAMS,6255601186,1461,101,1562,1161,74.33%
Colorado,2020,General,ADAMS,6255601187,1184,154,1338,930,69.51%
Colorado,2020,General,ADAMS,6255601188,862,72,934,744,79.66%
